样本编号,审核席位,匿名锚点账户,匿名关联账户,路径跳数,匿名资金路径,路径交易笔数,路径累计绝对金额,路径最近交易时间,是否同一图社区,双向关系数量,关系证据摘要,解释合理性,是否值得进一步核查,证据充分性,不合理/不足原因,补充意见,审核人,审核时间
LINK-054,A,A00004,A00039,3,A00004 → A00079 → A00032 → A00039,395,40280694.269999996,2025-12-29T14:10:33.000,是,0,"3跳关系；路径累计395笔；累计绝对金额40,280,694.27元；最近交易2025-12-29 14:10:33；同社区=是；双向关系0条",,,,,,,
LINK-054,B,A00004,A00039,3,A00004 → A00079 → A00032 → A00039,395,40280694.269999996,2025-12-29T14:10:33.000,是,0,"3跳关系；路径累计395笔；累计绝对金额40,280,694.27元；最近交易2025-12-29 14:10:33；同社区=是；双向关系0条",,,,,,,
LINK-055,A,A00004,A00049,3,A00004 → A00079 → A00032 → A00049,394,40088794.61,2025-12-29T14:10:33.000,是,0,"3跳关系；路径累计394笔；累计绝对金额40,088,794.61元；最近交易2025-12-29 14:10:33；同社区=是；双向关系0条",,,,,,,
LINK-055,B,A00004,A00049,3,A00004 → A00079 → A00032 → A00049,394,40088794.61,2025-12-29T14:10:33.000,是,0,"3跳关系；路径累计394笔；累计绝对金额40,088,794.61元；最近交易2025-12-29 14:10:33；同社区=是；双向关系0条",,,,,,,
LINK-056,A,A00078,A00036,2,A00078 → A00012 → A00036,104,16481797.9,2025-12-17T15:04:33.000,是,0,"2跳关系；路径累计104笔；累计绝对金额16,481,797.90元；最近交易2025-12-17 15:04:33；同社区=是；双向关系0条",,,,,,,
LINK-056,B,A00078,A00036,2,A00078 → A00012 → A00036,104,16481797.9,2025-12-17T15:04:33.000,是,0,"2跳关系；路径累计104笔；累计绝对金额16,481,797.90元；最近交易2025-12-17 15:04:33；同社区=是；双向关系0条",,,,,,,
LINK-057,A,A00045,A00085,3,A00045 → A00074 → A00056 → A00085,389,10422384731.73,2025-12-31T16:19:57.000,是,3,"3跳关系；路径累计389笔；累计绝对金额10,422,384,731.73元；最近交易2025-12-31 16:19:57；同社区=是；双向关系3条",,,,,,,
LINK-057,B,A00045,A00085,3,A00045 → A00074 → A00056 → A00085,389,10422384731.73,2025-12-31T16:19:57.000,是,3,"3跳关系；路径累计389笔；累计绝对金额10,422,384,731.73元；最近交易2025-12-31 16:19:57；同社区=是；双向关系3条",,,,,,,
LINK-058,A,A00004,A00029,2,A00004 → A00079 → A00029,392,39626745.61,2025-12-29T14:10:33.000,是,0,"2跳关系；路径累计392笔；累计绝对金额39,626,745.61元；最近交易2025-12-29 14:10:33；同社区=是；双向关系0条",,,,,,,
LINK-058,B,A00004,A00029,2,A00004 → A00079 → A00029,392,39626745.61,2025-12-29T14:10:33.000,是,0,"2跳关系；路径累计392笔；累计绝对金额39,626,745.61元；最近交易2025-12-29 14:10:33；同社区=是；双向关系0条",,,,,,,
LINK-059,A,A00004,A00001,3,A00004 → A00079 → A00032 → A00001,396,40732745.61,2025-12-30T11:16:58.000,是,0,"3跳关系；路径累计396笔；累计绝对金额40,732,745.61元；最近交易2025-12-30 11:16:58；同社区=是；双向关系0条",,,,,,,
LINK-059,B,A00004,A00001,3,A00004 → A00079 → A00032 → A00001,396,40732745.61,2025-12-30T11:16:58.000,是,0,"3跳关系；路径累计396笔；累计绝对金额40,732,745.61元；最近交易2025-12-30 11:16:58；同社区=是；双向关系0条",,,,,,,
LINK-060,A,A00022,A00063,2,A00022 → A00091 → A00063,9,94332.0,2025-12-22T14:30:24.000,是,0,"2跳关系；路径累计9笔；累计绝对金额94,332.00元；最近交易2025-12-22 14:30:24；同社区=是；双向关系0条",,,,,,,
LINK-060,B,A00022,A00063,2,A00022 → A00091 → A00063,9,94332.0,2025-12-22T14:30:24.000,是,0,"2跳关系；路径累计9笔；累计绝对金额94,332.00元；最近交易2025-12-22 14:30:24；同社区=是；双向关系0条",,,,,,,
LINK-061,A,A00022,A00066,2,A00022 → A00091 → A00066,178,30916468.0,2025-12-22T14:30:42.000,是,0,"2跳关系；路径累计178笔；累计绝对金额30,916,468.00元；最近交易2025-12-22 14:30:42；同社区=是；双向关系0条",,,,,,,
LINK-061,B,A00022,A00066,2,A00022 → A00091 → A00066,178,30916468.0,2025-12-22T14:30:42.000,是,0,"2跳关系；路径累计178笔；累计绝对金额30,916,468.00元；最近交易2025-12-22 14:30:42；同社区=是；双向关系0条",,,,,,,
LINK-062,A,A00022,A00018,2,A00022 → A00091 → A00018,11,1979282.59,2025-12-22T13:47:19.000,是,1,"2跳关系；路径累计11笔；累计绝对金额1,979,282.59元；最近交易2025-12-22 13:47:19；同社区=是；双向关系1条",,,,,,,
LINK-062,B,A00022,A00018,2,A00022 → A00091 → A00018,11,1979282.59,2025-12-22T13:47:19.000,是,1,"2跳关系；路径累计11笔；累计绝对金额1,979,282.59元；最近交易2025-12-22 13:47:19；同社区=是；双向关系1条",,,,,,,
LINK-063,A,A00078,A00014,2,A00078 → A00012 → A00014,10,203340.16,2025-12-29T14:26:56.000,是,1,"2跳关系；路径累计10笔；累计绝对金额203,340.16元；最近交易2025-12-29 14:26:56；同社区=是；双向关系1条",,,,,,,
LINK-063,B,A00078,A00014,2,A00078 → A00012 → A00014,10,203340.16,2025-12-29T14:26:56.000,是,1,"2跳关系；路径累计10笔；累计绝对金额203,340.16元；最近交易2025-12-29 14:26:56；同社区=是；双向关系1条",,,,,,,
LINK-064,A,A00078,A00081,2,A00078 → A00012 → A00081,17,597905.9,2025-12-10T10:08:24.000,是,0,"2跳关系；路径累计17笔；累计绝对金额597,905.90元；最近交易2025-12-10 10:08:24；同社区=是；双向关系0条",,,,,,,
LINK-064,B,A00078,A00081,2,A00078 → A00012 → A00081,17,597905.9,2025-12-10T10:08:24.000,是,0,"2跳关系；路径累计17笔；累计绝对金额597,905.90元；最近交易2025-12-10 10:08:24；同社区=是；双向关系0条",,,,,,,
LINK-065,A,A00022,A00015,2,A00022 → A00091 → A00015,9,94332.0,2025-12-22T14:30:24.000,是,0,"2跳关系；路径累计9笔；累计绝对金额94,332.00元；最近交易2025-12-22 14:30:24；同社区=是；双向关系0条",,,,,,,
LINK-065,B,A00022,A00015,2,A00022 → A00091 → A00015,9,94332.0,2025-12-22T14:30:24.000,是,0,"2跳关系；路径累计9笔；累计绝对金额94,332.00元；最近交易2025-12-22 14:30:24；同社区=是；双向关系0条",,,,,,,
LINK-066,A,A00004,A00032,2,A00004 → A00079 → A00032,392,39626745.61,2025-12-29T14:10:33.000,是,0,"2跳关系；路径累计392笔；累计绝对金额39,626,745.61元；最近交易2025-12-29 14:10:33；同社区=是；双向关系0条",,,,,,,
LINK-066,B,A00004,A00032,2,A00004 → A00079 → A00032,392,39626745.61,2025-12-29T14:10:33.000,是,0,"2跳关系；路径累计392笔；累计绝对金额39,626,745.61元；最近交易2025-12-29 14:10:33；同社区=是；双向关系0条",,,,,,,
LINK-067,A,A00045,A00031,3,A00045 → A00074 → A00056 → A00031,312,33627081634.68,2025-12-31T15:32:57.000,是,3,"3跳关系；路径累计312笔；累计绝对金额33,627,081,634.68元；最近交易2025-12-31 15:32:57；同社区=是；双向关系3条",,,,,,,
LINK-067,B,A00045,A00031,3,A00045 → A00074 → A00056 → A00031,312,33627081634.68,2025-12-31T15:32:57.000,是,3,"3跳关系；路径累计312笔；累计绝对金额33,627,081,634.68元；最近交易2025-12-31 15:32:57；同社区=是；双向关系3条",,,,,,,
LINK-068,A,A00022,A00076,2,A00022 → A00091 → A00076,622,199896037.0,2025-12-22T14:31:01.000,是,1,"2跳关系；路径累计622笔；累计绝对金额199,896,037.00元；最近交易2025-12-22 14:31:01；同社区=是；双向关系1条",,,,,,,
LINK-068,B,A00022,A00076,2,A00022 → A00091 → A00076,622,199896037.0,2025-12-22T14:31:01.000,是,1,"2跳关系；路径累计622笔；累计绝对金额199,896,037.00元；最近交易2025-12-22 14:31:01；同社区=是；双向关系1条",,,,,,,
LINK-069,A,A00078,A00088,2,A00078 → A00012 → A00088,106,9269513.93,2025-12-15T15:40:30.000,是,0,"2跳关系；路径累计106笔；累计绝对金额9,269,513.93元；最近交易2025-12-15 15:40:30；同社区=是；双向关系0条",,,,,,,
LINK-069,B,A00078,A00088,2,A00078 → A00012 → A00088,106,9269513.93,2025-12-15T15:40:30.000,是,0,"2跳关系；路径累计106笔；累计绝对金额9,269,513.93元；最近交易2025-12-15 15:40:30；同社区=是；双向关系0条",,,,,,,
LINK-070,A,A00034,A00005,1,A00034 → A00005,3,1316.7,2025-12-06T11:21:36.000,是,0,"1跳关系；路径累计3笔；累计绝对金额1,316.70元；最近交易2025-12-06 11:21:36；同社区=是；双向关系0条",,,,,,,
LINK-070,B,A00034,A00005,1,A00034 → A00005,3,1316.7,2025-12-06T11:21:36.000,是,0,"1跳关系；路径累计3笔；累计绝对金额1,316.70元；最近交易2025-12-06 11:21:36；同社区=是；双向关系0条",,,,,,,
LINK-071,A,A00045,A00028,3,A00045 → A00074 → A00056 → A00028,285,4744714641.3,2025-12-31T15:32:57.000,是,3,"3跳关系；路径累计285笔；累计绝对金额4,744,714,641.30元；最近交易2025-12-31 15:32:57；同社区=是；双向关系3条",,,,,,,
LINK-071,B,A00045,A00028,3,A00045 → A00074 → A00056 → A00028,285,4744714641.3,2025-12-31T15:32:57.000,是,3,"3跳关系；路径累计285笔；累计绝对金额4,744,714,641.30元；最近交易2025-12-31 15:32:57；同社区=是；双向关系3条",,,,,,,
LINK-072,A,A00034,A00030,2,A00034 → A00005 → A00030,6,4242.7,2025-12-06T11:21:36.000,是,0,"2跳关系；路径累计6笔；累计绝对金额4,242.70元；最近交易2025-12-06 11:21:36；同社区=是；双向关系0条",,,,,,,
LINK-072,B,A00034,A00030,2,A00034 → A00005 → A00030,6,4242.7,2025-12-06T11:21:36.000,是,0,"2跳关系；路径累计6笔；累计绝对金额4,242.70元；最近交易2025-12-06 11:21:36；同社区=是；双向关系0条",,,,,,,
LINK-073,A,A00004,A00042,3,A00004 → A00079 → A00032 → A00042,395,39897137.05,2025-12-29T14:10:33.000,是,0,"3跳关系；路径累计395笔；累计绝对金额39,897,137.05元；最近交易2025-12-29 14:10:33；同社区=是；双向关系0条",,,,,,,
LINK-073,B,A00004,A00042,3,A00004 → A00079 → A00032 → A00042,395,39897137.05,2025-12-29T14:10:33.000,是,0,"3跳关系；路径累计395笔；累计绝对金额39,897,137.05元；最近交易2025-12-29 14:10:33；同社区=是；双向关系0条",,,,,,,
LINK-074,A,A00022,A00037,2,A00022 → A00091 → A00037,9,5131100.0,2025-12-22T08:24:10.000,是,0,"2跳关系；路径累计9笔；累计绝对金额5,131,100.00元；最近交易2025-12-22 08:24:10；同社区=是；双向关系0条",,,,,,,
LINK-074,B,A00022,A00037,2,A00022 → A00091 → A00037,9,5131100.0,2025-12-22T08:24:10.000,是,0,"2跳关系；路径累计9笔；累计绝对金额5,131,100.00元；最近交易2025-12-22 08:24:10；同社区=是；双向关系0条",,,,,,,
LINK-075,A,A00045,A00056,2,A00045 → A00074 → A00056,176,2423792223.67,2025-12-31T15:32:57.000,是,2,"2跳关系；路径累计176笔；累计绝对金额2,423,792,223.67元；最近交易2025-12-31 15:32:57；同社区=是；双向关系2条",,,,,,,
LINK-075,B,A00045,A00056,2,A00045 → A00074 → A00056,176,2423792223.67,2025-12-31T15:32:57.000,是,2,"2跳关系；路径累计176笔；累计绝对金额2,423,792,223.67元；最近交易2025-12-31 15:32:57；同社区=是；双向关系2条",,,,,,,
LINK-076,A,A00034,A00065,1,A00034 → A00065,3,1316.7,2025-12-06T11:21:36.000,是,0,"1跳关系；路径累计3笔；累计绝对金额1,316.70元；最近交易2025-12-06 11:21:36；同社区=是；双向关系0条",,,,,,,
LINK-076,B,A00034,A00065,1,A00034 → A00065,3,1316.7,2025-12-06T11:21:36.000,是,0,"1跳关系；路径累计3笔；累计绝对金额1,316.70元；最近交易2025-12-06 11:21:36；同社区=是；双向关系0条",,,,,,,
LINK-077,A,A00004,A00046,3,A00004 → A00079 → A00032 → A00046,393,41126745.61,2025-12-29T14:10:33.000,是,0,"3跳关系；路径累计393笔；累计绝对金额41,126,745.61元；最近交易2025-12-29 14:10:33；同社区=是；双向关系0条",,,,,,,
LINK-077,B,A00004,A00046,3,A00004 → A00079 → A00032 → A00046,393,41126745.61,2025-12-29T14:10:33.000,是,0,"3跳关系；路径累计393笔；累计绝对金额41,126,745.61元；最近交易2025-12-29 14:10:33；同社区=是；双向关系0条",,,,,,,
LINK-078,A,A00078,A00008,2,A00078 → A00012 → A00008,21,240453.03,2025-12-29T14:28:08.000,是,1,"2跳关系；路径累计21笔；累计绝对金额240,453.03元；最近交易2025-12-29 14:28:08；同社区=是；双向关系1条",,,,,,,
LINK-078,B,A00078,A00008,2,A00078 → A00012 → A00008,21,240453.03,2025-12-29T14:28:08.000,是,1,"2跳关系；路径累计21笔；累计绝对金额240,453.03元；最近交易2025-12-29 14:28:08；同社区=是；双向关系1条",,,,,,,
LINK-079,A,A00045,A00055,3,A00045 → A00074 → A00056 → A00055,232,3435702290.57,2025-12-31T15:32:57.000,是,2,"3跳关系；路径累计232笔；累计绝对金额3,435,702,290.57元；最近交易2025-12-31 15:32:57；同社区=是；双向关系2条",,,,,,,
LINK-079,B,A00045,A00055,3,A00045 → A00074 → A00056 → A00055,232,3435702290.57,2025-12-31T15:32:57.000,是,2,"3跳关系；路径累计232笔；累计绝对金额3,435,702,290.57元；最近交易2025-12-31 15:32:57；同社区=是；双向关系2条",,,,,,,
LINK-080,A,A00045,A00082,3,A00045 → A00074 → A00056 → A00082,234,3223610412.1400003,2025-12-31T15:32:57.000,是,2,"3跳关系；路径累计234笔；累计绝对金额3,223,610,412.14元；最近交易2025-12-31 15:32:57；同社区=是；双向关系2条",,,,,,,
LINK-080,B,A00045,A00082,3,A00045 → A00074 → A00056 → A00082,234,3223610412.1400003,2025-12-31T15:32:57.000,是,2,"3跳关系；路径累计234笔；累计绝对金额3,223,610,412.14元；最近交易2025-12-31 15:32:57；同社区=是；双向关系2条",,,,,,,
LINK-081,A,A00022,A00010,3,A00022 → A00091 → A00021 → A00010,95,626595882.22,2025-12-30T12:27:49.000,是,0,"3跳关系；路径累计95笔；累计绝对金额626,595,882.22元；最近交易2025-12-30 12:27:49；同社区=是；双向关系0条",,,,,,,
LINK-081,B,A00022,A00010,3,A00022 → A00091 → A00021 → A00010,95,626595882.22,2025-12-30T12:27:49.000,是,0,"3跳关系；路径累计95笔；累计绝对金额626,595,882.22元；最近交易2025-12-30 12:27:49；同社区=是；双向关系0条",,,,,,,
LINK-082,A,A00045,A00087,3,A00045 → A00074 → A00056 → A00087,333,2700400381.26,2025-12-31T16:12:55.000,是,3,"3跳关系；路径累计333笔；累计绝对金额2,700,400,381.26元；最近交易2025-12-31 16:12:55；同社区=是；双向关系3条",,,,,,,
LINK-082,B,A00045,A00087,3,A00045 → A00074 → A00056 → A00087,333,2700400381.26,2025-12-31T16:12:55.000,是,3,"3跳关系；路径累计333笔；累计绝对金额2,700,400,381.26元；最近交易2025-12-31 16:12:55；同社区=是；双向关系3条",,,,,,,
LINK-083,A,A00004,A00059,1,A00004 → A00059,3,9414.44,2025-12-24T16:35:05.000,是,0,"1跳关系；路径累计3笔；累计绝对金额9,414.44元；最近交易2025-12-24 16:35:05；同社区=是；双向关系0条",,,,,,,
LINK-083,B,A00004,A00059,1,A00004 → A00059,3,9414.44,2025-12-24T16:35:05.000,是,0,"1跳关系；路径累计3笔；累计绝对金额9,414.44元；最近交易2025-12-24 16:35:05；同社区=是；双向关系0条",,,,,,,
LINK-084,A,A00045,A00073,2,A00045 → A00074 → A00073,53,54549600.0,2025-12-29T15:11:47.000,是,2,"2跳关系；路径累计53笔；累计绝对金额54,549,600.00元；最近交易2025-12-29 15:11:47；同社区=是；双向关系2条",,,,,,,
LINK-084,B,A00045,A00073,2,A00045 → A00074 → A00073,53,54549600.0,2025-12-29T15:11:47.000,是,2,"2跳关系；路径累计53笔；累计绝对金额54,549,600.00元；最近交易2025-12-29 15:11:47；同社区=是；双向关系2条",,,,,,,
